Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2021","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2010","t","425640.49"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2011","t","427256.78"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2012","t","313337.82"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2013","t","305282.94"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2014","t","281345.56"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2015","t","302665.02"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2016","t","429891.29"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2017","t","311275.98"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2018","t","379503.89"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2019","t","625495.48"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2020","t","600628.31"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2021","t","526649.1"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2010","t","1581421.86"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2011","t","1583573.5"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2012","t","1525304.83"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2013","t","1407950.53"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2014","t","1106044.71"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2015","t","1100011.98"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2016","t","1259730.63"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2017","t","1320125.46"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2018","t","1355553.36"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2019","t","1394426.95"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2020","t","1593839.33"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2021","t","1393862.12"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2010","t","124962.41"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2011","t","-14774"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2012","t","-1391348.63"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2013","t","-291727.88"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2014","t","1157219.52"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2015","t","916255.79"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2016","t","-27795.2"
