Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2010","t","1192206"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2011","t","1332756"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2012","t","1718774"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2013","t","1780165"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2014","t","1432814.86"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2015","t","1675021.46"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2016","t","1644662.53"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2017","t","1393100.11"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2018","t","1623651.21"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2019","t","1530270.33"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2020","t","1655094.82"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya bean oil","2021","t","1872981.15"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2010","t","21122.22"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2011","t","24094.51"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2012","t","10904.27"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2013","t","10689.67"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2014","t","13468.44"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2015","t","10411.6"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2016","t","17910.32"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2017","t","19831.59"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2018","t","13617.1"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2019","t","15225.35"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2020","t","19922.66"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2021","t","18313.7"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2010","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2014","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2015","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2016","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2017","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2018","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2019","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2020","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2021","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2010","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2014","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2015","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2016","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2017","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2018","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2019","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2020","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2021","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2010","t","175392.43"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2011","t","170552.12"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2012","t","142674.34"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2013","t","140830.42"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2014","t","160237.65"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2015","t","144071.21"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2016","t","178742.35"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2017","t","194918.74"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2018","t","151635.51"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2019","t","167996.76"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2020","t","163966.56"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya bean oil","2021","t","155374.52"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2010","t","1258.42"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2011","t","1683.57"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2012","t","2259.88"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2013","t","2715.69"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2014","t","1949.92"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2015","t","2812.71"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2016","t","2585.62"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2017","t","2462.96"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2018","t","1932.55"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2019","t","2178.66"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2020","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya bean oil","2021","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2010","t","425640.49"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2011","t","427256.78"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2012","t","313337.82"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2013","t","305282.94"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2014","t","281345.56"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2015","t","302665.02"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2016","t","429891.29"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2017","t","311275.98"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2018","t","379503.89"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2019","t","625495.48"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2020","t","600628.31"
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya bean oil","2021","t","526649.1"
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2010","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2014","t","-2364"
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2015","t","-1508"
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2016","t","-2126"
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2017","t","5"
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2018","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2019","t","-304"
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2020","t","-2"
"Supply Utilization Accounts (2010-)","European Union (27)","Residuals","Soya bean oil","2021","t","-4125"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2010","t","1581421.86"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2011","t","1583573.5"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2012","t","1525304.83"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2013","t","1407950.53"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2014","t","1106044.71"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2015","t","1100011.98"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2016","t","1259730.63"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2017","t","1320125.46"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2018","t","1355553.36"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2019","t","1394426.95"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2020","t","1593839.33"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya bean oil","2021","t","1393862.12"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2010","t","1226506.2"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2011","t","1246296.9"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2012","t","965299.1"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2013","t","1226769.6"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2014","t","1860125.94"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2015","t","2364657.01"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2016","t","2482598"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2017","t","2677102.29"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2018","t","2844996.91"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2019","t","2813260"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2020","t","2681690"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya beans","2021","t","2712900"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2010","t","14584506"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2011","t","13532963"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2012","t","13359589"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2013","t","14150490"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2014","t","14098991.01"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2015","t","14632496.59"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2016","t","15383186.8"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2017","t","14599893.54"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2018","t","16655749.87"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2019","t","16347027.07"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2020","t","17669960.74"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya beans","2021","t","17063219.44"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2010","t","124962.41"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2011","t","-14774"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2012","t","-1391348.63"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2013","t","-291727.88"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2014","t","1157219.52"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2015","t","916255.79"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2016","t","-27795.2"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2017","t","-207525.49"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2018","t","481384.64"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2019","t","-17695.28"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2020","t","-183147.43"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya beans","2021","t","-71143.2"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2010","t","2095066"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2011","t","1787784"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2012","t","2458583"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2013","t","1750945"
"Supply Utilization Accounts (2010-)","European Union (27)","Export Quantity","Soya beans","2014","t","1648675.37"
